2012-06-01, 238.1
2012-07-01, 228.6
2012-08-01, 220.1
2012-09-01, 221.2
2012-10-01, 227.0
2012-11-01, 231.7
2012-12-01, 306.1
2013-01-01, 222.6
2013-02-01, 220.3
2013-03-01, 236.9
2013-04-01, 246.8
2013-05-01, 242.9
2013-06-01, 252.3
2013-07-01, 244.3
2013-08-01, 236.4
2013-09-01, 236.9
2013-10-01, 241.4
2013-11-01, 243.3
2013-12-01, 316.8
2014-01-01, 235.4
2014-02-01, 231.6
2014-03-01, 247.6
2014-04-01, 257.0
2014-05-01, 249.6
2014-06-01, 259.8
2014-07-01, 249.2
2014-08-01, 235.2
2014-09-01, 242.5
2014-10-01, 244.7
2014-11-01, 242.2
2014-12-01, 306.4
2015-01-01, 218.5
2015-02-01, 216.9
2015-03-01, 224.3
2015-04-01, 235.3
2015-05-01, 234.8
2015-06-01, 241.4
2015-07-01, 229.4
2015-08-01, 217.2
2015-09-01, 220.9
2015-10-01, 222.2
2015-11-01, 220.7
2015-12-01, 285.1
2016-01-01, 211.8
2016-02-01, 218.6
2016-03-01, 228.0
2016-04-01, 233.2
2016-05-01, 237.2
2016-06-01, 243.6
2016-07-01, 226.1
2016-08-01, 222.7
2016-09-01, 224.9
2016-10-01, 223.6
2016-11-01, 225.6
2016-12-01, 295.3
2017-01-01, 218.5
2017-02-01, 221.6
2017-03-01, 236.6
2017-04-01, 244.7
2017-05-01, 246.1
2017-06-01, 256.2
2017-07-01, 236.0
2017-08-01, 233.6
